A. Gómez
B. Šeško
Y. En-Nesyri
Alejandro Garnacho
F. Acheampong
B. Brobbey
D. Calvert-Lewin
G. Raspadori
Z. Ibrahimović
M. Boadu
M. Kean
A. Gouiri
